Місце,Preview_pts,Адреса,Слот,Заявлено,Зараховано,База_очок
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,9,Haaland (MCI),Watkins (AVL),17
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,10,Welbeck (BHA),Welbeck (BHA),2
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,11,Mateta (CRY),Mateta (CRY),1
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,Лава1,Watkins (AVL),Watkins (AVL),17
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,Лава2,Van Hecke (BHA),Van Hecke (BHA),2
6,58,0xd2d162d35e9bb1ce41663246ad63d5d8b8fa5ad233bc7626956b5a22f6586eeb,Лава3,Hinshelwood (BHA),Hinshelwood (BHA),3
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,1,Donnarumma (MCI),Donnarumma (MCI),0
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,2,Shaw (MUN),Shaw (MUN),6
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,3,Maguire (MUN),Maguire (MUN),1
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,4,Saliba (ARS),Saliba (ARS),8
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,5,Cash (AVL),Cash (AVL),0
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,6,Rodrigo (MCI),Saka (ARS),8
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,7,Rice (ARS),Rice (ARS),3
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,8,B.Fernandes (MUN),B.Fernandes (MUN),9
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,9,Watkins (AVL),Watkins (AVL),17
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,10,Haaland (MCI),Welbeck (BHA),2
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,11,Bowen (WHU),Bowen (WHU),2
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,Лава1,Saka (ARS),Saka (ARS),8
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,Лава2,M.Salah (LIV),M.Salah (LIV),1
7,56,0xcd29f5777124c8c95f8c8fac9e0627cad1808195ccacc77aaa26084959b98943,Лава3,Welbeck (BHA),Welbeck (BHA),2
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,1,Raya (ARS),Raya (ARS),6
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,2,Calafiori (ARS),Calafiori (ARS),6
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,3,Gabriel (ARS),Gabriel (ARS),6
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,4,Guéhi (MCI),Guéhi (MCI),0
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,5,Matheus N. (MCI),Matheus N. (MCI),0
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,6,Bernardo (MCI),Ndiaye (EVE),2
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,7,Caicedo (CHE),Caicedo (CHE),0
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,8,Wharton (CRY),Wharton (CRY),9
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,9,Calvert-Lewin (LEE),Calvert-Lewin (LEE),8
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,10,Isak (LIV),Welbeck (BHA),2
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,11,Watkins (AVL),Watkins (AVL),17
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,Лава1,Ndiaye (EVE),Ndiaye (EVE),2
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,Лава2,Welbeck (BHA),Welbeck (BHA),2
8,56,0x93595cdf24f06f0e0b623d9f0d4302b260b22c73b039d8a7121d9da9b792e552,Лава3,Cucurella (CHE),Cucurella (CHE),0
9,56,0x1efe7878aa62c5055caf040ec5dd3d15bc5bc6da8aba80aeb3f284df72fed78d,1,Lammens (MUN),Lammens (MUN),1
